Type,Dua Title,Files Found,File Count,Categories
"EXACT_DUPLICATE","After Salah #8","after-salah.json | before-sleep.json | evening.json | ruqyah-illness.json",4,"After Salah | After Salah | Before Sleep | Evening Adhkar | Ruqyah & Illness"
"EXACT_DUPLICATE","Protect Yourself From the 4 Evils","before-sleep.json | evening.json | morning.json",3,"Before Sleep | Evening Adhkar | Morning Adhkar"
"EXACT_DUPLICATE","Encouraging the Dying to Say Shahadah","death.json | dhikr-all-times.json | difficulties-happiness.json",3,"Death & Bereavement | Dhikr for All Times | Difficulties & Happiness"
"EXACT_DUPLICATE","Well-being in this World and the Hereafter","evening.json | morning.json | sunnah-duas.json",3,"Evening Adhkar | Morning Adhkar | Sunnah Duas"
"EXACT_DUPLICATE","Entrust All Your Matters to Allah","evening.json | morning.json | sunnah-duas.json",3,"Evening Adhkar | Morning Adhkar | Sunnah Duas"
"EXACT_DUPLICATE","Allah Will Suffice You in Everything","evening.json | morning.json | ruqyah-illness.json",3,"Evening Adhkar | Morning Adhkar | Ruqyah & Illness"
"EXACT_DUPLICATE","After Salah #7","after-salah.json | ruqyah-illness.json",2,"After Salah | After Salah | Ruqyah & Illness"
"EXACT_DUPLICATE","Praise Allah With the Praises of the Entire Creation","before-sleep.json | praises-allah.json",2,"Before Sleep | Praises of Allah"
"EXACT_DUPLICATE","For Difficult Times: All Your Prayers Answered","difficulties-happiness.json | istighfar.json",2,"Difficulties & Happiness | Istighfar (Seeking Forgiveness)"
"EXACT_DUPLICATE","Ayat al-Kursi: The Greatest Protection","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_DUPLICATE","Protect Yourself From Anxiety, Laziness, Debt etc","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_DUPLICATE","Ask Allah For Good Health and Protection","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_DUPLICATE","Have the Prophet ﷺ Hold Your Hand and Admit You to Paradise","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_DUPLICATE","Protect Yourself From All Harm","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_DUPLICATE","Get Your Sins Forgiven","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_DUPLICATE","An Unparalleled Reward","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_DUPLICATE","Tasbih, Tahmid and Takbir","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_DUPLICATE","Protection from all Evil","evening.json | ruqyah-illness.json",2,"Evening Adhkar | Ruqyah & Illness"
"EXACT_DUPLICATE","Seeking Protection for Children","marriage-children.json | ruqyah-illness.json",2,"Marriage & Children | Ruqyah & Illness"
"EXACT_DUPLICATE","After a Nightmare","nightmares.json | ruqyah-illness.json",2,"Nightmares | Ruqyah & Illness"
